target, time, size
158584,7250,1000
147635,7250,1000
146879,7250,1000
145369,7250,1000
147257,7250,1000
144992,7250,1000
147634,7250,1000
261664,7300,1000
244672,7300,1000
194455,7300,1000
159717,7300,1000
151033,7300,1000
154431,7300,1000
157451,7300,1000
170667,7300,1000
149145,7300,1000
144614,7300,1000
325097,7350,1000
298289,7350,1000
193699,7350,1000
162737,7350,1000
152166,7350,1000
152921,7350,1000
151411,7350,1000
145746,7350,1000
158207,7350,1000
149145,7350,1000
287340,7400,1000
258265,7400,1000
179351,7400,1000
163115,7400,1000
166136,7400,1000
159717,7400,1000
160095,7400,1000
162360,7400,1000
154808,7400,1000
156319,7400,1000
282809,7450,1000
248827,7450,1000
151411,7450,1000
127623,7450,1000
125734,7450,1000
124224,7450,1000
123847,7450,1000
117050,7450,1000
119316,7450,1000
122714,7450,1000
275257,7500,1000
252980,7500,1000
194832,7500,1000
178219,7500,1000
172933,7500,1000
171045,7500,1000
165758,7500,1000
168401,7500,1000
169912,7500,1000
171800,7500,1000
303198,7550,1000
280921,7550,1000
200118,7550,1000
167269,7550,1000
157829,7550,1000
157074,7550,1000
151410,7550,1000
154808,7550,1000
155186,7550,1000
149899,7550,1000
283564,7600,1000
313015,7600,1000
227305,7600,1000
193322,7600,1000
159717,7600,1000
146879,7600,1000
131776,7600,1000
127623,7600,1000
116295,7600,1000
110632,7600,1000
302443,7650,1000
251469,7650,1000
178974,7650,1000
157829,7650,1000
154431,7650,1000
154431,7650,1000
154053,7650,1000
152165,7650,1000
167646,7650,1000
149523,7650,1000
325853,7700,1000
306596,7700,1000
195587,7700,1000
160472,7700,1000
159339,7700,1000
149144,7700,1000
152543,7700,1000
155186,7700,1000
147256,7700,1000
149900,7700,1000
297156,7750,1000
258644,7750,1000
210313,7750,1000
194833,7750,1000
195965,7750,1000
189546,7750,1000
187658,7750,1000
191056,7750,1000
187658,7750,1000
186526,7750,1000
302065,7800,1000
274124,7800,1000
147634,7800,1000
124980,7800,1000
130644,7800,1000
125735,7800,1000
119693,7800,1000
119693,7800,1000
121204,7800,1000
122714,7800,1000
295646,7850,1000
436485,7850,1000
376071,7850,1000
265818,7850,1000
239764,7850,1000
225793,7850,1000
228060,7850,1000
206159,7850,1000
205027,7850,1000
201251,7850,1000
317546,7900,1000
297157,7900,1000
208803,7900,1000
189546,7900,1000
186903,7900,1000
179729,7900,1000
183882,7900,1000
178218,7900,1000
180106,7900,1000
181994,7900,1000
293758,7950,1000
264307,7950,1000
169911,7950,1000
151410,7950,1000
140838,7950,1000
139327,7950,1000
137062,7950,1000
137062,7950,1000
138195,7950,1000
136307,7950,1000
